institute,person,run,status
8,1323,2,prim
43,1325,2,prim
57,368,2,prim
75,917,2,prim
57,153,2,prim
25,373,2,prim
61,374,2,prim
62,374,2,prim
57,185,2,prim
8,1332,2,prim
74,633,2,prim
60,1334,2,prim
8,12,2,prim
54,1335,2,prim
8,705,2,prim
9,120,2,prim
54,376,2,prim
62,376,2,prim
40,379,2,prim
38,634,2,prim
62,280,2,prim
77,380,2,prim
57,103,2,prim
15,381,2,prim
8,382,2,prim
22,383,2,prim
8,28,2,prim
39,1340,2,prim
9,929,2,prim
25,1341,2,prim
8,357,2,prim
44,387,2,prim
8,1343,2,prim
45,166,2,prim
40,1166,2,prim
57,1251,2,prim
75,24,2,prim
8,610,2,prim
72,389,2,prim
65,957,2,prim
72,65,2,prim
40,391,2,prim
17,392,2,prim
62,393,2,prim
40,671,2,prim
3,394,2,prim
30,394,2,prim
75,663,2,prim
62,211,2,prim
8,97,2,prim
45,396,2,prim
25,721,2,prim
8,398,2,prim
43,145,2,prim
13,399,2,prim
43,275,2,prim
8,170,2,prim
43,1349,2,prim
42,401,2,prim
8,108,2,prim
13,723,2,prim
61,964,2,prim
23,404,2,prim
42,635,2,prim
50,1253,2,prim
69,636,2,prim
69,143,2,prim
76,966,2,prim
57,1358,2,prim
30,406,2,prim
54,407,2,prim
68,623,2,prim
25,409,2,prim
37,410,2,prim
